Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,233,1,10.00,65.67,55.67,5.57,409.89,431.13,1.05,3021.97,3004.28,0.99
,,234,1,10.00,65.98,55.98,5.60,190.82,244.35,1.28,3036.72,3030.94,1.00
,,235,1,10.00,67.41,57.41,5.74,139.73,221.42,1.58,2866.38,2922.94,1.02
,,236,1,10.00,66.20,56.20,5.62,285.47,415.52,1.46,3620.49,2856.27,0.79
,,237,1,10.00,68.63,58.63,5.86,402.15,2482.89,6.17,3047.04,2852.75,0.94
,,238,1,10.00,70.33,60.33,6.03,591.28,2484.26,4.20,2933.16,2933.64,1.00
,,239,1,10.00,70.48,60.48,6.05,269.11,1398.06,5.20,2957.41,3067.98,1.04
,Failed,240,1,10.00,10.00,0.00,0.00,382.79,492.60,1.29,3777.13,3777.13,1.00
,Normal,241,-,65.37,-,-,-,342.88,319.32,0.93,4452.32,3749.12,0.84
,,242,-,56.56,-,-,-,236.45,244.89,1.04,3749.78,3753.79,1.00
,,243,-,67.20,-,-,-,79.15,78.88,1.00,3623.91,4329.16,1.19
,,244,-,60.23,-,-,-,228.07,244.09,1.07,4444.46,3741.33,0.84
,,245,-,62.55,-,-,-,173.73,174.60,1.00,3632.24,3741.17,1.03
,,246,-,55.95,-,-,-,271.11,269.05,0.99,3626.29,3742.98,1.03
,,247,-,67.77,-,-,-,171.30,174.12,1.02,3629.85,3624.35,1.00
,,248,-,67.79,-,-,-,176.35,173.60,0.98,3633.66,3750.80,1.03
,,249,-,67.50,-,-,-,99.19,99.81,1.01,4336.00,3632.87,0.84
,,250,-,68.00,-,-,-,172.86,171.19,0.99,3633.88,3742.31,1.03
,,251,-,67.59,-,-,-,98.59,100.61,1.02,3643.39,4348.02,1.19
,,252,-,67.15,-,-,-,121.75,118.16,0.97,3760.58,4346.52,1.16
,,253,-,68.95,-,-,-,172.84,176.28,1.02,3770.54,3647.14,0.97
,,254,-,54.41,-,-,-,79.52,84.65,1.06,3761.84,3764.09,1.00
,,255,-,57.74,-,-,-,145.93,147.76,1.01,3762.59,3881.29,1.03
,,256,-,68.41,-,-,-,115.93,123.41,1.06,4347.54,3663.90,0.84
,,257,-,69.40,-,-,-,103.07,104.06,1.01,3644.16,3769.10,1.03
,,258,-,68.85,-,-,-,98.81,98.17,0.99,4469.23,3766.10,0.84
,,259,-,69.12,-,-,-,160.67,156.71,0.98,3642.41,3644.16,1.00
